epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4165.13,0.82634,0.4233,0.93956,0.79297,0.79858,0.83572,0.64,0.85834,0.40103,0.9322,0.0091585,0.0091585,0.0091585
87,4543.42,0.82767,0.42488,0.93879,0.79299,0.79765,0.83614,0.63999,0.85813,0.39963,0.93205,0.0091486,0.0091486,0.0091486
88,4921.52,0.82684,0.4242,0.93792,0.79509,0.79704,0.83616,0.63983,0.85803,0.39827,0.93197,0.0091387,0.0091387,0.0091387
89,5299.73,0.82581,0.42455,0.93789,0.79427,0.79725,0.8364,0.64026,0.85786,0.39728,0.93189,0.0091288,0.0091288,0.0091288
90,5677.57,0.82598,0.42273,0.9364,0.79751,0.79602,0.83662,0.63996,0.8576,0.39622,0.93167,0.0091189,0.0091189,0.0091189
91,6055.85,0.82609,0.42278,0.93811,0.80119,0.79461,0.83679,0.64014,0.85749,0.39552,0.93157,0.009109,0.009109,0.009109
92,6433.95,0.82549,0.42099,0.93471,0.80412,0.79234,0.83687,0.63989,0.85733,0.39459,0.9314,0.0090991,0.0090991,0.0090991
93,6812.29,0.82638,0.42122,0.93615,0.80499,0.79308,0.83696,0.63956,0.85717,0.39374,0.93122,0.0090892,0.0090892,0.0090892
94,7191.21,0.82364,0.42176,0.93545,0.80437,0.79307,0.83698,0.63928,0.85684,0.39311,0.93105,0.0090793,0.0090793,0.0090793
95,7570.36,0.82295,0.41977,0.93736,0.80169,0.79428,0.83659,0.63947,0.85667,0.39253,0.93091,0.0090694,0.0090694,0.0090694
96,7948.87,0.82412,0.42033,0.934,0.8014,0.79466,0.83684,0.63922,0.8564,0.39207,0.93072,0.0090595,0.0090595,0.0090595
97,8327.67,0.82346,0.41704,0.93502,0.80234,0.7943,0.83695,0.63934,0.85624,0.39175,0.93055,0.0090496,0.0090496,0.0090496
98,8706.14,0.8249,0.41895,0.9342,0.80175,0.79497,0.83721,0.63905,0.85607,0.39131,0.93034,0.0090397,0.0090397,0.0090397
99,9085.02,0.82298,0.41855,0.93504,0.80249,0.79386,0.83745,0.63948,0.85577,0.39078,0.93012,0.0090298,0.0090298,0.0090298
100,9463.52,0.82318,0.4184,0.93475,0.80229,0.79441,0.83741,0.63907,0.8556,0.39052,0.92998,0.0090199,0.0090199,0.0090199
101,9842.6,0.82286,0.41848,0.93708,0.80195,0.79411,0.83727,0.639,0.85528,0.39003,0.9298,0.00901,0.00901,0.00901
